ID,HR
TEST_00000,80.73958600000003
TEST_00001,70.74181300000008
TEST_00002,71.95672533333328
TEST_00003,79.15215833333339
TEST_00004,77.42484166666655
TEST_00005,79.76812133333314
TEST_00006,78.69751200000002
TEST_00007,75.2796143333333
TEST_00008,78.82639833333339
TEST_00009,77.4287886666666
TEST_00010,81.95693266666675
TEST_00011,89.36904333333317
TEST_00012,77.04838233333317
TEST_00013,73.69569300000018
TEST_00014,78.6457516666667
TEST_00015,81.77416399999979
TEST_00016,72.48522833333335
TEST_00017,75.67328000000013
TEST_00018,74.00108866666666
TEST_00019,82.3495713333332
TEST_00020,76.70963800000006
TEST_00021,75.33492933333333
TEST_00022,79.94897100000011
TEST_00023,76.88095533333329
TEST_00024,81.75437566666679
TEST_00025,84.08143499999984
TEST_00026,80.08364499999993
TEST_00027,80.4662046666669
TEST_00028,79.77803466666661
TEST_00029,71.07556133333351
TEST_00030,79.91940099999992
TEST_00031,81.7408093333333
TEST_00032,74.45335133333322
TEST_00033,83.65284466666675
TEST_00034,87.447445
TEST_00035,68.6989596666665
TEST_00036,75.4358839999999
TEST_00037,84.34416866666672
TEST_00038,80.59310199999986
TEST_00039,73.2091426666665
TEST_00040,86.45131866666671
TEST_00041,79.54975666666667
TEST_00042,80.20463133333328
TEST_00043,75.13487000000002
TEST_00044,79.0984350000001
TEST_00045,76.93925499999979
TEST_00046,77.84417533333323
TEST_00047,83.15532333333336
TEST_00048,77.1159
TEST_00049,73.08667666666675
TEST_00050,87.34973400000007
TEST_00051,76.63591600000015
TEST_00052,78.61135633333333
TEST_00053,76.20153200000007
TEST_00054,78.25924099999986
TEST_00055,78.64863966666682
TEST_00056,82.76447499999999
TEST_00057,82.74590066666657
TEST_00058,78.86505766666649
TEST_00059,76.68318400000014
TEST_00060,79.62149299999993
TEST_00061,80.62659600000019
TEST_00062,82.05715966666672
TEST_00063,75.43408133333328
TEST_00064,78.02828666666677
TEST_00065,77.03482666666653
TEST_00066,88.01504466666643
TEST_00067,76.82391233333333
TEST_00068,75.41409199999978
TEST_00069,73.70750900000013
TEST_00070,90.73715299999984
TEST_00071,82.01429000000003
TEST_00072,76.04512600000028
TEST_00073,77.16601766666666
TEST_00074,75.73419833333332
TEST_00075,85.96060466666715
TEST_00076,73.67584266666648
TEST_00077,73.03766233333327
TEST_00078,80.36021133333307
TEST_00079,80.52669533333335
TEST_00080,78.22138899999987
TEST_00081,84.84901066666643
TEST_00082,75.99919833333334
TEST_00083,73.05452499999993
TEST_00084,73.85696066666662
TEST_00085,74.3651010000001
TEST_00086,78.99127866666683
TEST_00087,83.06007999999994
TEST_00088,74.93469166666658
TEST_00089,72.29636733333344
TEST_00090,76.35913100000037
TEST_00091,75.03501133333334
TEST_00092,73.25669966666652
TEST_00093,79.18987100000038
TEST_00094,79.11613166666655
TEST_00095,87.26220833333315
TEST_00096,79.44431666666661
TEST_00097,74.16600833333344
TEST_00098,92.3822783333335
TEST_00099,84.87702033333325
TEST_00100,80.40307133333363
TEST_00101,77.67361566666658
TEST_00102,80.11773766666617
TEST_00103,76.04574333333326
TEST_00104,81.51653666666658
TEST_00105,79.15702533333352
TEST_00106,78.36122966666693
TEST_00107,76.03830533333351
TEST_00108,94.29937666666696
TEST_00109,78.38609400000014
TEST_00110,78.7206616666666
TEST_00111,81.93608266666678
TEST_00112,77.54135566666675
TEST_00113,74.72267833333316
TEST_00114,87.53448633333332
TEST_00115,84.91897299999981
TEST_00116,77.24632300000015
TEST_00117,75.24971566666653
TEST_00118,83.81856200000014
TEST_00119,78.19459966666686
TEST_00120,76.00966133333328
TEST_00121,76.18354100000003
TEST_00122,94.88892600000037
TEST_00123,80.61963966666667
TEST_00124,78.68639966666669
TEST_00125,86.26588266666663
TEST_00126,75.51769633333335
TEST_00127,75.12912566666665
TEST_00128,79.22370666666674
TEST_00129,78.7556693333334
TEST_00130,83.55307399999992
TEST_00131,77.25513299999996
TEST_00132,78.15710133333359
TEST_00133,78.13151500000004
TEST_00134,101.43377033333353
TEST_00135,81.65984133333349
TEST_00136,78.03252999999991
TEST_00137,75.73533733333346
TEST_00138,74.92308999999977
TEST_00139,79.25936700000015
TEST_00140,77.03962233333317
TEST_00141,79.18322300000015
TEST_00142,74.43925433333324
TEST_00143,76.29028433333367
TEST_00144,75.47382699999989
TEST_00145,75.58180200000008
TEST_00146,74.84546366666663
TEST_00147,73.20368499999995
TEST_00148,75.21832933333349
TEST_00149,76.85869133333316
TEST_00150,76.04910633333328
TEST_00151,79.66245266666668
TEST_00152,75.53341033333328
TEST_00153,80.51683966666674
TEST_00154,75.45784133333332
TEST_00155,101.9936249999999
TEST_00156,75.64764166666683
TEST_00157,98.38332600000001
TEST_00158,80.66090366666683
TEST_00159,96.6013000000001
TEST_00160,79.30330933333325
TEST_00161,79.21964000000001
TEST_00162,75.4144853333334
TEST_00163,78.235562
TEST_00164,80.71284233333348
TEST_00165,78.45621266666652
TEST_00166,83.7901556666668
TEST_00167,85.46966633333356
TEST_00168,74.1131703333334
TEST_00169,77.05258300000011
TEST_00170,78.63451600000006
TEST_00171,79.13018366666674
TEST_00172,87.02473999999998
TEST_00173,76.97831333333329
TEST_00174,75.76440466666654
TEST_00175,74.63021866666661
TEST_00176,81.22258266666684
TEST_00177,77.35929433333321
TEST_00178,83.47932066666696
TEST_00179,81.27674999999996
TEST_00180,80.56666700000015
TEST_00181,75.75374066666667
TEST_00182,83.28609233333366
TEST_00183,77.25733466666658
TEST_00184,76.38711666666677
TEST_00185,81.95215766666686
TEST_00186,76.20293866666704
TEST_00187,77.96707633333303
TEST_00188,76.00935466666675
TEST_00189,74.65366833333358
TEST_00190,74.30960266666654
TEST_00191,80.45362299999995
TEST_00192,77.89223266666664
TEST_00193,83.20204233333314
TEST_00194,79.42220433333337
TEST_00195,81.23104266666684
TEST_00196,77.03420666666676
TEST_00197,81.46767066666648
TEST_00198,74.25456033333354
TEST_00199,76.23051933333326
TEST_00200,77.62683400000023
TEST_00201,81.91823733333317
TEST_00202,78.83283200000012
TEST_00203,98.14579733333345
TEST_00204,81.66857166666651
TEST_00205,80.62408300000001
TEST_00206,87.01778566666694
TEST_00207,74.90320233333325
TEST_00208,78.48585400000002
TEST_00209,80.90609466666679
TEST_00210,77.51360599999995
TEST_00211,81.12150033333322
TEST_00212,85.79596099999995
TEST_00213,77.35909133333371
TEST_00214,83.35776300000009
TEST_00215,72.52872733333314
TEST_00216,78.07793633333326
TEST_00217,85.82627166666657
TEST_00218,78.62136166666666
TEST_00219,78.28137899999987
TEST_00220,80.04947466666675
TEST_00221,75.05921566666666
TEST_00222,81.98645533333311
TEST_00223,79.09950866666681
TEST_00224,75.20491766666653
TEST_00225,68.62312233333363
TEST_00226,79.1202550000001
TEST_00227,94.62294733333324
TEST_00228,78.53135833333336
TEST_00229,88.21288633333316
TEST_00230,75.36041100000014
TEST_00231,94.80808400000011
TEST_00232,89.92042366666655
TEST_00233,78.85974533333336
TEST_00234,80.20947500000007
TEST_00235,77.92065866666665
TEST_00236,77.35650466666681
TEST_00237,82.03547499999982
TEST_00238,77.2103973333334
TEST_00239,85.2622146666666
TEST_00240,77.3036106666668
TEST_00241,73.83667866666664
TEST_00242,74.75317899999988
TEST_00243,79.2993550000002
TEST_00244,81.28725233333319
TEST_00245,72.22198533333345
TEST_00246,81.3122193333336
TEST_00247,79.48296333333334
TEST_00248,76.74765133333337
TEST_00249,79.5979773333331
TEST_00250,80.29191033333333
TEST_00251,85.30671699999985
TEST_00252,76.74215733333331
TEST_00253,82.11613266666674
TEST_00254,82.9443160000002
TEST_00255,82.1422689999999
TEST_00256,76.04402400000002
TEST_00257,78.1749280000002
TEST_00258,74.44297099999967
TEST_00259,77.3238623333334
TEST_00260,77.27754900000005
TEST_00261,75.30508233333335
TEST_00262,78.83055699999994
TEST_00263,76.12980633333336
TEST_00264,75.9070940000001
TEST_00265,81.75262966666679
TEST_00266,80.24504799999998
TEST_00267,75.7994473333334
TEST_00268,75.37227433333328
TEST_00269,76.1972330000001
TEST_00270,80.8957216666671
TEST_00271,75.31105266666646
TEST_00272,77.04281033333343
TEST_00273,74.13834033333315
TEST_00274,74.57880133333319
TEST_00275,78.50683466666668
TEST_00276,74.38283066666658
TEST_00277,78.32861699999992
TEST_00278,78.00474866666656
TEST_00279,77.13491399999994
TEST_00280,75.50187266666649
TEST_00281,78.48845099999996
TEST_00282,95.76966566666668
TEST_00283,84.13742666666691
TEST_00284,75.25358066666666
TEST_00285,75.52778599999992
TEST_00286,73.30949766666656
TEST_00287,75.61829600000007
TEST_00288,85.34411133333332
TEST_00289,75.81919233333333
TEST_00290,77.93164733333366
TEST_00291,80.53422866666659
TEST_00292,93.71670400000019
TEST_00293,76.26149533333346
TEST_00294,83.3852226666665
TEST_00295,76.06127266666648
TEST_00296,76.39765000000017
TEST_00297,75.31633666666644
TEST_00298,79.07046100000001
TEST_00299,83.85049366666655
TEST_00300,80.69650399999999
TEST_00301,78.40428133333366
TEST_00302,78.53835566666653
TEST_00303,77.86542233333337
TEST_00304,74.10316000000006
TEST_00305,77.25117499999986
TEST_00306,73.1039603333332
TEST_00307,79.86408133333337
TEST_00308,73.27692200000006
TEST_00309,72.5803293333331
TEST_00310,76.09466266666708
TEST_00311,75.39428199999983
TEST_00312,76.99534833333351
TEST_00313,80.68924433333301
TEST_00314,79.3247326666669
TEST_00315,79.91656800000015
TEST_00316,81.29195233333344
TEST_00317,89.3855250000003
TEST_00318,81.2616009999999
TEST_00319,75.44506900000009
TEST_00320,75.56866599999974
TEST_00321,76.87042166666672
TEST_00322,92.55694566666669
TEST_00323,79.6425756666667
TEST_00324,76.33524233333358
TEST_00325,76.23792400000002
TEST_00326,79.69765800000006
TEST_00327,80.92626866666677
TEST_00328,80.23871300000006
TEST_00329,73.44606266666675
TEST_00330,78.02102933333329
TEST_00331,76.65035599999958
TEST_00332,75.29939133333322
TEST_00333,76.47749933333324
TEST_00334,79.59256299999996
TEST_00335,85.94493733333329
TEST_00336,80.110865333333
TEST_00337,80.49540300000001
TEST_00338,75.856236
TEST_00339,76.78498633333342
TEST_00340,81.21400299999992
TEST_00341,81.26987100000012
TEST_00342,77.40825566666656
TEST_00343,77.53722233333322
TEST_00344,80.31591200000018
TEST_00345,75.38000300000012
TEST_00346,75.17145533333307
TEST_00347,79.82396700000034
TEST_00348,82.1955386666667
TEST_00349,73.12165799999995
TEST_00350,81.37960600000004
TEST_00351,77.7134426666667
TEST_00352,78.55593833333364
TEST_00353,74.84730066666671
TEST_00354,72.61751533333329
TEST_00355,73.6787759999999
TEST_00356,75.60933366666653
TEST_00357,76.2002446666666
TEST_00358,75.53682766666667
TEST_00359,74.4897206666665
TEST_00360,78.57714166666663
TEST_00361,78.433979
TEST_00362,80.27870299999996
TEST_00363,85.11480466666633
TEST_00364,78.05790666666637
TEST_00365,81.89807866666668
TEST_00366,75.31592399999981
TEST_00367,78.38102466666655
TEST_00368,76.33253933333356
TEST_00369,84.9268950000003
