datetime,count
2012-06-14 13:00,297.0
2011-11-13 0:00,87.0
2012-08-16 1:00,29.0
2011-12-14 19:00,264.0
2011-10-12 6:00,85.0
2011-03-06 23:00,8.0
2012-01-05 10:00,107.0
2011-07-13 15:00,62.0
2012-07-07 10:00,283.0
2012-02-17 10:00,158.0
2012-06-14 4:00,9.0
2012-06-15 8:00,716.0
2012-10-03 1:00,21.0
2011-01-07 6:00,26.0
2011-12-01 23:00,81.0
2012-12-12 7:00,435.0
2012-11-07 19:00,393.0
2012-10-07 2:00,70.0
2011-11-17 9:00,196.0
2012-07-14 21:00,275.0
2011-03-09 10:00,62.0
2011-02-17 6:00,41.0
2012-12-17 15:00,187.0
2011-09-10 3:00,23.0
2011-10-01 21:00,84.0
2011-10-10 23:00,74.0
2011-12-17 9:00,130.0
2011-01-06 18:00,142.0
2011-09-12 8:00,429.0
2012-06-16 2:00,68.0
2011-10-03 13:00,98.0
2011-07-10 15:00,372.0
2012-09-07 8:00,585.0
2012-11-09 7:00,360.0
2011-06-08 12:00,156.0
2012-05-11 7:00,398.0
2011-02-07 5:00,5.0
2012-12-15 22:00,176.0
2012-09-10 17:00,867.0
2011-09-13 15:00,191.0
2011-04-02 16:00,164.0
2012-11-18 17:00,274.0
2011-07-03 11:00,354.0
2011-08-17 3:00,5.0
2012-03-02 12:00,222.0
2011-05-08 5:00,7.0
2012-05-15 21:00,133.0
2012-05-13 12:00,561.0
2012-10-01 15:00,316.0
2012-03-03 15:00,499.0
2011-02-03 11:00,47.0
2011-08-06 1:00,87.0
2012-11-13 0:00,37.0
2011-11-11 22:00,92.0
2012-08-08 20:00,436.0
2012-05-02 5:00,35.0
2011-02-11 7:00,104.0
2011-04-14 20:00,189.0
2012-11-03 10:00,338.0
2012-01-18 23:00,40.0
2011-02-09 14:00,66.0
2012-03-01 4:00,4.0
2012-01-17 2:00,2.0
2011-05-09 9:00,198.0
2012-01-09 22:00,75.0
2012-01-07 19:00,243.0
2011-09-13 14:00,166.0
2011-05-12 10:00,143.0
2012-09-09 3:00,46.0
2011-11-13 17:00,297.0
2012-08-01 13:00,294.0
2011-10-17 10:00,136.0
2011-09-01 23:00,95.0
2011-03-17 23:00,48.0
2012-12-18 21:00,216.0
2011-09-01 6:00,110.0
2011-04-15 8:00,94.0
2011-05-08 22:00,108.0
2011-03-07 7:00,105.0
2011-05-14 18:00,181.0
2011-02-10 23:00,26.0
2012-02-18 17:00,405.0
2011-08-12 1:00,25.0
2011-02-04 12:00,81.0
2012-12-13 10:00,172.0
2011-06-14 13:00,190.0
2012-12-10 23:00,100.0
2011-11-14 5:00,23.0
2012-06-06 19:00,497.0
2012-06-19 5:00,36.0
2012-09-15 2:00,92.0
2011-11-02 20:00,190.0
2011-09-06 12:00,130.0
2011-04-19 15:00,136.0
2012-10-18 19:00,473.0
2011-08-01 10:00,114.0
2011-12-04 21:00,99.0
2012-09-04 9:00,273.0
2011-05-14 19:00,118.0
2011-11-15 13:00,143.0
2012-05-15 17:00,733.0
2011-10-12 5:00,17.0
2012-09-03 2:00,42.0
2011-05-17 7:00,171.0
2011-09-16 14:00,183.0
2011-08-01 11:00,133.0
2012-12-05 6:00,80.0
2012-01-05 8:00,404.0
2011-03-11 18:00,215.0
2011-01-05 7:00,83.0
2011-09-12 5:00,26.0
2012-10-08 23:00,101.0
2011-08-02 0:00,37.0
2012-03-05 4:00,4.0
2011-11-11 17:00,298.0
2011-05-04 1:00,6.0
2011-05-14 8:00,69.0
2011-03-07 0:00,5.0
2011-03-09 7:00,119.0
2011-12-05 23:00,65.0
2012-04-14 10:00,339.0
2012-05-09 2:00,7.0
2011-02-10 10:00,46.0
2011-11-06 20:00,116.0
2011-01-18 20:00,47.0
2011-08-02 21:00,215.0
2011-12-04 9:00,149.0
2011-05-18 9:00,125.0
2011-01-11 17:00,152.0
2011-06-07 15:00,164.0
2012-11-06 15:00,216.0
2012-09-18 1:00,8.0
2011-07-09 8:00,112.0
2012-07-16 10:00,173.0
2011-08-09 7:00,297.0
2011-11-14 16:00,306.0
2012-02-18 22:00,108.0
2012-08-11 4:00,10.0
2011-09-05 7:00,55.0
2012-12-18 7:00,427.0
2011-09-17 3:00,25.0
2011-06-05 10:00,273.0
2012-04-14 21:00,254.0
2011-02-01 3:00,2.0
2012-09-09 22:00,148.0
2011-03-15 19:00,131.0
2012-11-01 0:00,48.0
2012-07-07 6:00,59.0
2012-02-10 15:00,165.0
2011-06-05 4:00,10.0
2012-04-18 14:00,111.0
2012-02-07 11:00,148.0
2012-08-03 22:00,271.0
2012-09-13 17:00,872.0
2012-09-17 16:00,397.0
2012-09-07 15:00,341.0
2011-04-18 0:00,26.0
2011-08-07 9:00,178.0
2012-10-08 12:00,436.0
2011-05-17 15:00,174.0
2012-06-15 6:00,135.0
2011-01-02 19:00,60.0
2011-07-08 2:00,17.0
2012-07-15 1:00,121.0
2011-05-17 19:00,349.0
2011-07-12 11:00,160.0
2012-09-14 22:00,187.0
2011-09-08 19:00,74.0
2012-02-13 15:00,161.0
2012-08-07 17:00,780.0
2012-03-19 3:00,4.0
2012-06-10 15:00,484.0
2011-12-05 16:00,283.0
2012-01-17 11:00,95.0
2012-01-19 18:00,283.0
2011-03-02 17:00,287.0
2012-02-19 19:00,97.0
2012-05-11 8:00,815.0
2012-01-01 4:00,5.0
2012-12-04 15:00,275.0
2011-06-17 8:00,382.0
2012-04-07 21:00,234.0
2011-11-14 12:00,187.0
2012-05-14 17:00,287.0
2011-12-11 17:00,224.0
2012-10-07 16:00,271.0
2012-12-02 19:00,175.0
2011-11-16 22:00,55.0
2011-02-09 8:00,223.0
2012-06-16 12:00,636.0
2011-04-07 9:00,151.0
2012-09-14 10:00,251.0
2011-07-02 20:00,282.0
2011-08-11 8:00,475.0
2012-01-16 1:00,20.0
2011-09-04 9:00,170.0
2012-10-07 21:00,138.0
2012-05-10 9:00,297.0
2012-12-05 2:00,7.0
2012-09-04 14:00,258.0
2012-08-12 11:00,511.0
2012-03-08 23:00,98.0
2011-09-15 23:00,64.0
2012-12-19 9:00,282.0
2011-04-09 8:00,61.0
2012-10-02 14:00,106.0
2012-12-13 3:00,7.0
2012-08-13 4:00,8.0
2011-06-07 3:00,4.0
2012-08-19 3:00,39.0
2011-02-12 11:00,99.0
2012-11-07 12:00,222.0
2012-01-05 22:00,113.0
2012-08-02 2:00,11.0
2012-07-01 14:00,376.0
2012-09-10 23:00,116.0
2011-08-08 2:00,4.0
2011-03-07 1:00,3.0
2011-11-03 4:00,6.0
2012-05-19 10:00,420.0
2012-09-15 15:00,712.0
2011-04-01 7:00,71.0
2012-01-19 6:00,64.0
2011-10-15 22:00,193.0
2011-02-07 23:00,22.0
2012-09-03 13:00,474.0
2012-11-02 18:00,491.0
2012-10-17 22:00,148.0
2011-03-15 10:00,66.0
2011-12-10 17:00,205.0
2011-04-13 12:00,47.0
2012-11-10 23:00,130.0
2012-07-08 14:00,361.0
2011-06-02 7:00,341.0
2012-07-08 12:00,369.0
2012-06-08 14:00,358.0
2011-10-06 7:00,322.0
2012-08-11 8:00,178.0
2012-08-15 13:00,286.0
2012-03-13 23:00,98.0
2011-05-19 15:00,226.0
2011-12-12 1:00,9.0
2012-05-08 2:00,5.0
2011-12-14 9:00,193.0
2011-02-04 1:00,7.0
2012-03-09 10:00,126.0
2012-08-07 20:00,368.0
2011-12-06 0:00,27.0
2011-01-06 11:00,44.0
2011-03-07 19:00,132.0
2012-04-16 14:00,384.0
2011-02-06 15:00,145.0
2012-07-09 20:00,409.0
2012-04-06 16:00,463.0
2011-05-19 4:00,6.0
2012-02-06 11:00,118.0
2011-09-17 8:00,90.0
2012-06-06 14:00,291.0
2011-10-07 7:00,194.0
2012-05-12 11:00,557.0
2012-04-19 3:00,4.0
2012-11-19 18:00,578.0
2012-12-02 6:00,14.0
2011-12-04 13:00,279.0
2012-01-03 14:00,67.0
2012-11-17 20:00,210.0
2011-02-14 18:00,201.0
2011-08-15 6:00,76.0
2012-10-17 4:00,7.0
2011-01-04 21:00,43.0
2011-10-02 4:00,5.0
2012-07-02 9:00,275.0
2012-01-02 12:00,151.0
2011-09-18 16:00,367.0
2011-05-01 12:00,306.0
2011-08-05 3:00,6.0
2011-06-16 6:00,85.0
2012-11-12 18:00,397.0
2012-10-14 23:00,92.0
2011-12-11 21:00,67.0
2012-02-07 10:00,134.0
2012-11-18 12:00,489.0
2011-06-06 15:00,175.0
2012-11-12 19:00,326.0
2011-04-17 22:00,97.0
2012-10-05 19:00,524.0
2011-10-11 21:00,159.0
2011-01-17 23:00,14.0
2012-09-12 22:00,202.0
2011-05-06 18:00,362.0
2011-06-03 6:00,105.0
2011-03-11 10:00,64.0
2011-01-06 23:00,25.0
2012-02-03 19:00,228.0
2012-05-17 21:00,309.0
2012-09-07 19:00,563.0
2012-05-12 5:00,10.0
2011-04-12 19:00,140.0
2012-04-19 11:00,219.0
2011-10-19 7:00,133.0
2011-11-18 16:00,249.0
2012-11-01 8:00,884.0
2012-07-05 3:00,7.0
2012-02-11 0:00,56.0
2012-02-16 8:00,531.0
2012-10-01 19:00,479.0
2011-08-04 19:00,362.0
2012-09-17 22:00,128.0
2011-04-12 3:00,4.0
2012-08-03 12:00,325.0
2012-06-07 12:00,320.0
2011-07-03 18:00,290.0
2011-02-02 16:00,96.0
2012-09-17 18:00,813.0
2012-10-07 13:00,460.0
2012-01-14 0:00,40.0
2011-11-05 8:00,82.0
2012-07-15 7:00,48.0
2011-03-12 3:00,8.0
2011-07-10 4:00,10.0
2011-04-08 21:00,56.0
2012-02-03 12:00,188.0
2011-03-06 12:00,82.0
2012-06-03 3:00,30.0
2012-04-05 1:00,10.0
2011-08-06 12:00,361.0
2011-11-04 0:00,32.0
2012-12-17 9:00,349.0
2012-08-08 10:00,200.0
2011-05-04 5:00,7.0
2011-02-17 0:00,18.0
2011-04-18 16:00,201.0
2012-09-03 16:00,490.0
2012-04-12 4:00,5.0
2012-09-18 15:00,135.0
2011-06-04 12:00,437.0
2011-11-13 14:00,338.0
2011-09-16 3:00,6.0
2011-08-19 18:00,436.0
2012-09-17 12:00,294.0
2011-12-17 16:00,232.0
2012-04-06 21:00,209.0
2011-08-07 15:00,258.0
2011-09-12 14:00,172.0
2012-02-16 10:00,66.0
2011-10-17 17:00,603.0
2011-07-14 0:00,51.0
2011-12-07 10:00,28.0
2012-12-13 18:00,563.0
2011-11-16 13:00,55.0
2012-11-17 7:00,49.0
2012-08-09 11:00,217.0
2012-12-08 22:00,138.0
2012-09-17 0:00,40.0
2012-10-01 10:00,231.0
2012-10-05 6:00,122.0
2012-12-10 7:00,361.0
2011-03-05 19:00,134.0
2011-11-17 3:00,3.0
2011-05-17 10:00,69.0
2012-12-19 21:00,217.0
2012-09-07 12:00,337.0
2011-04-15 2:00,25.0
2011-08-05 13:00,239.0
2011-01-08 11:00,71.0
