fuel_consumption_rate,eta_variation_hours,traffic_congestion_level,warehouse_inventory_level,loading_unloading_time,handling_equipment_availability,order_fulfillment_status,weather_condition_severity,port_congestion_level,supplier_reliability_score,lead_time_days,historical_demand,iot_temperature,cargo_condition_status,route_risk_level,customs_clearance_time,driver_behavior_score,fatigue_monitoring_score,shipping_costs
5.136511865,4.998009219,5.927585801,985.7168615,4.951391967,0.481293674,0.761166168,0.35906606,4.289159587,0.986064284,2.128008822,100.7728538,0.574399738,0.777263471,1.182115989,0.502006422,0.033843494,0.978598539,456.503853
5.101511531,0.984929422,1.591992191,396.7002058,1.030379214,0.620780411,0.196594033,0.230659537,7.01837332,0.463232992,12.60816573,5313.738114,-9.753493205,0.091838617,9.611988304,0.96677403,0.201725391,0.918585858,640.4082054
5.09080262,4.972665099,8.787765349,832.4089349,4.22022942,0.810933424,0.152741519,0.027210098,9.605063877,0.59856055,14.1244516,1595.049146,-6.491033989,0.25352944,6.570431288,0.945626528,0.264044996,0.394214887,155.7493136
8.219557503,3.095063545,0.045257148,0.573283236,0.530186207,0.008525055,0.811885117,0.616619118,8.899616094,0.742734539,3.818972423,2530.431941,-0.151275527,0.877576455,0.548952041,4.674035152,0.362885164,0.90544378,104.3179605
5.000074882,3.216076726,8.004850905,914.925067,3.620890355,0.020083428,0.053659432,0.952384588,0.061760277,0.431088309,14.00149111,2146.190197,2.429448026,0.262080873,8.861442874,3.445429027,0.016957488,0.258701939,977.2225276
5.533562734,4.862386477,0.499404951,822.5906491,0.768521121,0.06207391,0.397323349,0.701698885,9.964329836,0.934843772,1.88631576,3587.988449,11.30134265,0.041377887,9.492603161,2.163846464,0.18396379,0.978620431,103.8250019
5.779803647,4.999979063,8.750501123,6.048353516,3.923828208,0.333237075,0.002689008,0.357689132,7.507506256,0.595347293,1.153419673,9356.078574,-9.076669516,0.243348145,9.870429787,4.159664609,0.020698635,0.986596618,296.6356703
5.474694573,0.37551117,4.813078277,256.2932081,2.352963145,0.021811956,0.240859266,0.608199784,9.587155139,0.793895089,1.003970172,7689.081301,36.83872787,0.34449623,2.954216314,1.456897804,0.012489728,0.18507787,674.8135484
5.680607337,4.958875074,9.613160806,109.8168679,0.592248741,0.049303923,0.183048015,0.867999883,8.452268978,0.242227756,5.818007518,9943.224513,-9.999959742,0.914129299,7.158867746,2.169862739,0.876878977,0.996431282,484.4559935
5.088425403,1.508709103,9.897407371,0.032109926,0.781214945,0.069872531,0.744814069,0.802685976,9.842723065,0.999106946,11.60762367,9580.569025,-9.999999887,0.03244357,3.587066777,3.751473219,0.01195855,0.453394621,100.881247
6.601943049,-0.06397315,8.451799363,146.1290872,2.548537907,0.343390372,0.989637736,0.007115722,4.007823063,0.645342346,7.622528765,9974.318475,26.21889301,0.002587328,1.472211821,0.508619686,0.026288707,0.188893799,546.9087163
5.01516913,4.999791612,0.254117742,130.4709974,0.694461101,0.000602896,0.867935473,0.763149352,1.974527388,0.191855736,11.14318083,9951.020592,-2.369568048,0.1567627,9.999746615,0.715278915,0.942447283,0.923544175,935.7352606
9.190992975,4.998450867,1.114359997,513.7453016,4.712043937,0.523023101,0.597352005,0.288550864,5.469290045,0.072897623,1.01489895,9344.95739,-9.598676739,0.406688129,8.416565264,1.634058338,0.272882472,0.994091435,702.2088879
