ID,V0,V1,V2,V3,V4,V5,V6,V7,Class
TRAIN_00000,,-0.0634367936661471,-0.0835068865013978,0.4753469995682264,-0.0120215325592556,-0.1219741812838722,,0.0478505901287398,1
TRAIN_00001,-0.2710259099080855,-0.1451734408544167,,,0.012652619690084,-0.0923438915163438,-0.0309128563959435,-0.0527011460785379,3
TRAIN_00002,-1.0353522172192275,,-0.0344432719295091,-0.5306551365622031,0.0011502844002725,0.0230618787301564,-0.0126968188981116,0.0584065948957396,3
TRAIN_00003,-0.6943648805950408,,0.0714214180694875,0.1029115222348172,0.3999989869909317,,0.0943646476295002,,0
TRAIN_00004,,-0.0926202924687007,0.1136380033801266,0.1046758025346925,-0.031853480637541,0.0410832914204169,-0.1467520109551643,-0.1231204505540228,3
TRAIN_00005,-0.7796119812297223,-0.0925572815805066,-0.0346383680180527,0.031297297248666,0.0033920867762802,0.0060999064789507,,0.0098362671725106,4
TRAIN_00006,-0.4140889779936779,-0.1444588810375187,-0.0266919156710444,0.003365582058397,0.1401901403737244,-0.1022608617713881,,-0.0228843355272,1
TRAIN_00007,-0.8913877888109736,0.1021451787318011,-0.0325978337071162,-0.0018460726166038,-0.000632916693547,,-0.0044568768978416,0.0087225519910021,4
TRAIN_00008,,,0.2670460798771149,,-0.0024903443482039,,0.2320460160504245,0.0162103776234935,4
TRAIN_00009,-0.0799420825089127,,-0.0188031206600854,0.5209411546165633,0.0482642995597815,-0.211941333663974,0.0047467512526272,-0.021666922603444,1
TRAIN_00010,0.2469729946005687,-0.2315854455597201,-0.0615564307861087,-0.0107652359738766,-0.022976067002941,,-0.0779764932875559,-0.0397388475497331,2
TRAIN_00011,-0.4787530828229208,0.1739614999485262,-0.0406075447837324,0.0039093606694255,0.0899769888506414,,0.0070843311169822,,3
TRAIN_00012,-0.5050792668759013,0.3628257790269857,0.2715708963676225,0.6008758179305261,0.3969281263391845,,0.0041660303815679,0.0464555176846141,4
TRAIN_00013,-0.345567997700523,0.0472468435596117,0.055207665794532,,-0.0033090906253981,0.0184423973712395,0.2049602400685459,0.1239280430809594,3
TRAIN_00014,-0.4294300169419653,-0.1032573940492243,-0.0375698496732351,,-0.0095907467659921,0.0032971709683347,,-0.0768437181953968,3
TRAIN_00015,-0.8107626705788487,0.0621464646510858,-0.0511608684189835,-0.0016627834248401,-0.0031412454101491,0.0835456764814924,-0.0140125875047549,,4
TRAIN_00016,-0.4648185147134017,,0.2765679537599169,0.0071458943402297,0.0110248648777051,-0.2242191982557512,0.0645329612380051,-0.3215765279403307,3
TRAIN_00017,,,0.2837182220225666,-0.4077475569096166,0.1509331624208496,,0.3946050296622105,0.3071864651566989,1
TRAIN_00018,-0.1625188268641483,-0.0799404846759985,0.0097734551256614,,,,0.0058842697023271,0.0001339285868977,2
TRAIN_00019,,-0.2407763495483208,0.2302529429457735,-0.0531517140508355,0.0222477737150299,0.1630497126821313,,0.0300321291069713,1
TRAIN_00020,0.0925392050512684,0.4045945651151098,-0.3789673606828317,0.4949182678564087,0.0042221027077457,-0.0014752739616588,,0.0121344873142779,4
TRAIN_00021,,0.1288534203941777,,,-0.0019181492650691,,,,4
