ID,HR
TEST_00000,80.89876999999998
TEST_00001,70.25139699999995
TEST_00002,71.85759100000004
TEST_00003,79.08330900000006
TEST_00004,77.42529700000007
TEST_00005,79.24419500000005
TEST_00006,78.69759499999999
TEST_00007,75.27768499999999
TEST_00008,78.76571699999995
TEST_00009,77.429696
TEST_00010,81.74513599999996
TEST_00011,79.124429
TEST_00012,76.99244800000002
TEST_00013,73.58341399999989
TEST_00014,78.64737500000003
TEST_00015,81.94788700000002
TEST_00016,72.48534300000004
TEST_00017,75.62684799999997
TEST_00018,74.05358800000002
TEST_00019,82.64297700000002
TEST_00020,76.32953599999996
TEST_00021,75.25575600000009
TEST_00022,79.98733799999987
TEST_00023,76.93405399999995
TEST_00024,81.53147999999996
TEST_00025,84.10516500000006
TEST_00026,80.21088299999997
TEST_00027,80.98779599999985
TEST_00028,79.71357699999994
TEST_00029,69.98113099999996
TEST_00030,79.86921299999997
TEST_00031,81.70817200000002
TEST_00032,74.47218399999998
TEST_00033,83.65533199999996
TEST_00034,74.06560199999998
TEST_00035,68.4660000000001
TEST_00036,75.40096600000003
TEST_00037,84.84950999999997
TEST_00038,80.50418700000003
TEST_00039,73.13672000000011
TEST_00040,86.47658200000005
TEST_00041,80.18751099999994
TEST_00042,80.277543
TEST_00043,75.1300000000001
TEST_00044,79.14402099999997
TEST_00045,76.65164
TEST_00046,77.82133599999995
TEST_00047,82.28918800000001
TEST_00048,77.32828999999997
TEST_00049,73.11421999999992
TEST_00050,77.64269399999996
TEST_00051,76.63518999999991
TEST_00052,77.89058800000002
TEST_00053,74.69855200000002
TEST_00054,78.31893899999992
TEST_00055,78.64866700000002
TEST_00056,83.47790200000001
TEST_00057,82.96610000000003
TEST_00058,78.878081
TEST_00059,76.27264099999998
TEST_00060,79.59389200000005
TEST_00061,80.62719499999996
TEST_00062,82.09686000000005
TEST_00063,75.88567000000006
TEST_00064,78.00302299999994
TEST_00065,76.770281
TEST_00066,73.53488099999996
TEST_00067,76.83413499999997
TEST_00068,75.404044
TEST_00069,73.471487
TEST_00070,83.37697200000004
TEST_00071,79.86612099999994
TEST_00072,76.07008200000001
TEST_00073,76.9410960000001
TEST_00074,75.65726700000002
TEST_00075,86.04577099999999
TEST_00076,73.69033100000004
TEST_00077,73.30710400000007
TEST_00078,80.54725900000003
TEST_00079,80.45859699999995
TEST_00080,77.80984599999994
TEST_00081,84.72461799999998
TEST_00082,76.12541700000008
TEST_00083,73.01562900000005
TEST_00084,73.98067999999999
TEST_00085,74.53533900000002
TEST_00086,78.99160699999995
TEST_00087,80.95642600000008
TEST_00088,75.04519599999995
TEST_00089,72.19590599999998
TEST_00090,75.88612299999988
TEST_00091,74.624887
TEST_00092,73.25746899999996
TEST_00093,79.21842199999998
TEST_00094,79.19148200000006
TEST_00095,75.41886699999988
TEST_00096,79.50446099999995
TEST_00097,74.06341699999999
TEST_00098,80.180848
TEST_00099,84.88720200000002
TEST_00100,80.37399999999995
TEST_00101,77.504521
TEST_00102,79.95107700000005
TEST_00103,75.52052599999998
TEST_00104,81.62765999999996
TEST_00105,78.60384199999997
TEST_00106,78.32434400000015
TEST_00107,75.68123999999999
TEST_00108,78.90033700000001
TEST_00109,77.85716999999994
TEST_00110,78.73071300000001
TEST_00111,81.91881199999997
TEST_00112,77.45129899999998
TEST_00113,73.77860600000004
TEST_00114,82.50562299999996
TEST_00115,85.01269599999999
TEST_00116,78.270178
TEST_00117,75.28399200000004
TEST_00118,83.61722999999998
TEST_00119,77.92380999999995
TEST_00120,76.15241299999997
TEST_00121,75.94238100000003
TEST_00122,78.70433299999998
TEST_00123,80.56457499999998
TEST_00124,79.51583900000003
TEST_00125,78.64102000000004
TEST_00126,75.14443499999996
TEST_00127,75.1284480000001
TEST_00128,79.62962399999992
TEST_00129,78.93312800000008
TEST_00130,83.33644799999996
TEST_00131,77.17026000000003
TEST_00132,78.31331600000004
TEST_00133,78.14077900000011
TEST_00134,79.95716899999998
TEST_00135,81.67484700000001
TEST_00136,77.71361500000009
TEST_00137,75.84948200000004
TEST_00138,74.92261999999997
TEST_00139,79.20247499999991
TEST_00140,76.72050400000003
TEST_00141,78.58091499999996
TEST_00142,74.54682699999996
TEST_00143,75.95622299999992
TEST_00144,75.46884699999998
TEST_00145,76.07275399999999
TEST_00146,74.82005199999998
TEST_00147,73.218559
TEST_00148,75.21620600000004
TEST_00149,76.81008400000005
TEST_00150,76.02218099999995
TEST_00151,78.84402599999997
TEST_00152,75.61206999999997
TEST_00153,80.418144
TEST_00154,75.25
TEST_00155,82.44943599999992
TEST_00156,75.70443600000013
TEST_00157,80.025995
TEST_00158,80.762176
TEST_00159,80.08125100000002
TEST_00160,79.27789399999995
TEST_00161,79.24812
TEST_00162,75.46546099999999
TEST_00163,77.92430300000004
TEST_00164,80.63094100000004
TEST_00165,77.90564799999993
TEST_00166,82.704564
TEST_00167,78.56187000000006
TEST_00168,73.97109100000002
TEST_00169,77.27076499999998
TEST_00170,78.6346099999999
TEST_00171,79.12395699999998
TEST_00172,78.34062599999997
TEST_00173,76.34493599999999
TEST_00174,76.10869699999996
TEST_00175,74.04458400000003
TEST_00176,81.48200599999994
TEST_00177,77.41897599999999
TEST_00178,83.094781
TEST_00179,81.16664000000004
TEST_00180,80.52825799999995
TEST_00181,75.94927800000009
TEST_00182,83.28026500000018
TEST_00183,75.11710299999999
TEST_00184,76.04737300000004
TEST_00185,81.88719500000008
TEST_00186,76.01260699999993
TEST_00187,78.03394599999983
TEST_00188,76.15160599999997
TEST_00189,74.61524999999995
TEST_00190,74.28948700000001
TEST_00191,80.48045699999994
TEST_00192,78.32006599999997
TEST_00193,83.42707100000007
TEST_00194,80.03482699999996
