id,trip_duration
id1846565,148.1897723160129
id2473446,46.87634458845382
id3852188,162.8437151466911
id3728770,192.7710056124401
id3733479,50.05496905100046
id3912210,34.19008684250229
id1926606,32.38333894673118
id1219220,134.97720439318078
id3108390,112.95847660340866
id3528507,177.65672320657382
id3952969,69.46873396455052
id1654765,53.06650932032
id3673519,72.4438628835378
id0899681,119.6632225008752
id1837685,158.8830807880931
id2899379,77.32829453010083
id2889163,60.3824719570336
id0945606,165.88334858086668
id1064041,15.301938033743014
id3587936,208.81189150142256
id1894675,111.72786773225283
id3979412,70.98043247685024
id3193338,25.162739485513725
id0318298,66.27828276685615
id0354203,163.45273436880439
id2147519,149.79777675676235
id2905580,34.32337445727473
id0806271,40.03175782345008
id0004067,32.524655979851595
id2627257,83.06040876176075
id3604759,139.2660740601837
id0197044,30.830326063750224
id0252476,33.665663678134734
id2251007,199.50353431724503
id3935847,50.0225755627766
id1754386,191.03204763403022
id2388524,288.607256373015
id1018103,40.350736051176845
id3384421,130.35309594001924
id3399386,20.99504195445556
id3329432,129.0501660787617
id0837081,32.696587526222515
id2262376,196.35591833036884
id2277437,193.84735315322334
id0325793,137.8441880492632
id2185383,84.05363229385358
id1026828,63.00028441775723
id3317475,166.10254926401547
id2990692,54.413276833873404
id2496862,35.817386612343476
id1508935,45.57530455930523
id2482431,61.33365955602023
id0916013,141.42625475850454
id1748497,46.14299543012311
id0990456,26.82758730357598
id2781783,61.523031297157274
id2725916,48.14902240253653
id3397745,47.690253781740296
id0953001,32.3450061938364
id0523805,49.23444116365453
id0238043,67.68581641687999
id2410379,56.01183437310804
id3894003,107.77461514682133
id0899697,568.0032430997583
id2445062,67.49904935906986
id3776509,203.12546270451517
id0823953,44.550177615931624
id0835187,45.99076079679505
id2148529,192.92947815558034
id2457514,65.57241994999328
id2567484,16.09335747052073
id3963408,130.7990137977572
id0729156,263.9953655820538
id3885040,22.787502841806162
id1872762,29.735787165077372
id3695064,22.70000890237239
id2766778,50.692851192941234
id3735678,36.61064659436297
id1389507,166.7271582333999
id3538427,168.19487577656528
id2386807,72.77978726096846
id3518317,62.23835071997179
id1622938,63.15087654585247
id0388312,51.020133700394446
id3383170,83.15495080247399
id2194714,117.76761793526853
id0206782,56.03496351840268
id1081617,230.72740226846716
id3374838,109.2453798723646
id0796177,323.36512121051317
id3643595,62.92088024429688
id1024509,50.066892113908345
id1407607,120.91811958359193
id2975049,31.97905653404124
id3922042,92.77624977896731
id1028394,132.14213122752054
id0210254,38.93626726016732
id0455194,37.4472036142392
id1005421,82.2062020519499
id3931531,12.55230612360898
id0419728,56.757959345418605
id2243489,163.54259129889073
id0824488,136.46314526845998
id3624746,87.87429709258272
id3398641,25.436446895753168
id0384703,129.8797216369505
id3328811,54.562493660675024
id1118680,22.720259847729874
id2509452,48.21613833492358
id3459987,118.40793791923224
id3452052,199.97433685915797
id3601355,57.5431764812516
